"ID","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","type","location","type_numeric"
4,0.23728813559322,0.166666666666667,0.204819277108434,0.0744336569579288,0.110837438423645,0.189189189189189,0.454545454545455,0.270375161707633,0.41860465116279,0.219298245614035,0.396694214876033,6,"WHITE","CALIFORNIA",3
5,0.279661016949153,0.0882352941176471,0.259036144578313,0.0194174757281553,0.0344827586206897,0.288288288288288,0.424242424242424,0.153514445881846,0.302325581395349,0.298245614035088,0.611570247933884,6,"WHITE","CALIFORNIA",3
6,0.186440677966102,0.205882352941176,0.150602409638554,0.0226537216828479,0.0591133004926108,0.261261261261261,0.363636363636364,0.0357912893488573,0.27906976744186,0.184210526315789,0.859504132231405,6,"WHITE","CALIFORNIA",3
10,0.338983050847458,0.235294117647059,0.198795180722892,0.313915857605178,0.0541871921182266,0.414414414414414,0.632996632996633,0.423027166882277,0.271317829457364,0.31578947368421,0.264462809917355,6,"WHITE","CALIFORNIA",3
11,0.661016949152542,0.387254901960784,0.240963855421687,0.0226537216828479,0.201970443349754,0.045045045045045,0.0740740740740741,0.428201811125486,0.271317829457364,0.37719298245614,0.336088153719008,6,"RED","CALIFORNIA",2
12,0.26271186440678,0.147058823529412,0.204819277108434,0.0647249190938511,0.0566502463054187,0.207207207207207,0.387205387205387,0.13324708926261,0.325581395348837,0.140350877192982,0.727272727272727,7,"WHITE","CALIFORNIA",3
16,0.559322033898305,0.294117647058824,0.27710843373494,0.0453074433656958,0.233990147783251,0.045045045045045,0.0134680134680135,0.410952996981456,0.310077519379845,0.37719298245614,0.628099173553719,7,"RED","CALIFORNIA",2
17,0.305084745762712,0.215686274509804,0.295180722891566,0.242718446601942,0.113300492610837,0.432432432432432,0.612794612794613,0.443725743855107,0.62015503875969,0.31578947368421,0.28099173553719,6,"WHITE","CALIFORNIA",3
18,0.211864406779661,0.196078431372549,0.283132530120482,0.339805825242718,0.0763546798029557,0.540540540540541,0.595959595959596,0.379905131522208,0.310077519379845,0.254385964912281,0.247933884297521,6,"WHITE","CALIFORNIA",3
19,0.754237288135593,0.5,0.271084337349398,0.0517799352750809,0.179802955665025,0.0900900900900901,0.0538720538720539,0.555843035791289,0.217054263565891,0.421052631578947,0.214876033057851,6,"RED","CALIFORNIA",2
20,0.177966101694915,0.156862745098039,0.180722891566265,0.0420711974110032,0.0591133004926108,0.243243243243243,0.28956228956229,0.221647261750752,0.51937984496124,0.412280701754386,0.479338842975207,7,"WHITE","CALIFORNIA",3
21,0.245762711864407,0.107843137254902,0.13855421686747,0.177993527508091,0.0935960591133005,0.315315315315315,0.373737373737374,0.318671841310911,0.48062015503876,0.184210526315789,0.264462809917355,6,"WHITE","CALIFORNIA",3
22,0.279661016949153,0.0392156862745098,0.180722891566265,0.0776699029126214,0.0221674876847291,0.126126126126126,0.104377104377104,0.126347563605002,0.232558139534884,0.263157894736842,0.644628099173554,7,"WHITE","CALIFORNIA",3
25,0.330508474576271,0.254901960784314,0.168674698795181,0.333333333333333,0.0763546798029557,0.27027027027027,0.373737373737374,0.47606727037516,0.426356589147287,0.0614035087719298,0.198347107438016,6,"WHITE","CALIFORNIA",3
26,0.169491525423729,0.137254901960784,0.174698795180723,0.0194174757281553,0.0665024630541872,0.216216216216216,0.208754208754209,0.0664079344545058,0.403100775193799,0.114035087719298,0.760330578512396,6,"none","CALIFORNIA",1
27,0.457627118644068,0.617647058823529,0.13855421686747,0.177993527508091,0.0812807881773399,0.126126126126126,0.292929292929293,0.33160845191893,0.131782945736434,0.105263157894737,0.347107438016529,6,"WHITE","CALIFORNIA",3
28,0.194915254237288,0.254901960784314,0.27710843373494,0.129449838187702,0.0492610837438424,0.18018018018018,0.296296296296296,0.167744717550667,0.441860465116279,0.350877192982456,0.710743801652893,6,"WHITE","CALIFORNIA",3
30,0.228813559322034,0.53921568627451,0.198795180722892,0.0355987055016181,0.123152709359606,0.135135135135135,0.0740740740740741,0.353600689952566,0.496124031007752,0.368421052631579,0.347107438016529,6,"RED","CALIFORNIA",2
31,0.457627118644068,0.225490196078431,0.216867469879518,0.0485436893203884,0.172413793103448,0.0900900900900901,0.0841750841750842,0.389823199655022,0.472868217054264,0.56140350877193,0.661157024793388,7,"RED","CALIFORNIA",2
33,0.279661016949153,0.254901960784314,0.186746987951807,0.145631067961165,0.0566502463054187,0.315315315315315,0.451178451178451,0.196205260888312,0.488372093023256,0.219298245614035,0.710743801652893,7,"WHITE","CALIFORNIA",3
34,0.254237288135593,0.382352941176471,0.0481927710843374,0.0485436893203884,0.135467980295567,0.153153153153153,0.107744107744108,0.363087537731781,0.449612403100775,0.37719298245614,0.264462809917355,6,"RED","CALIFORNIA",2
36,0.296610169491525,0.127450980392157,0.180722891566265,0.330097087378641,0.0689655172413793,0.153153153153153,0.356902356902357,0.426476929711082,0.527131782945736,0.245614035087719,0.264462809917355,6,"WHITE","CALIFORNIA",3
37,0.398305084745763,0.382352941176471,0.162650602409639,0.0388349514563107,0.120689655172414,0.153153153153153,0.107744107744108,0.347994825355754,0.34108527131783,0.552631578947368,0.512396694214876,6,"RED","CALIFORNIA",2
38,0.279661016949153,0.0980392156862745,0.234939759036145,0.446601941747573,0.103448275862069,0.423423423423423,0.505050505050505,0.532988357050451,0.488372093023256,0.491228070175439,0.181818181818182,5,"WHITE","CALIFORNIA",3
39,0.271186440677966,0.235294117647059,0.162650602409639,0.207119741100324,0.0443349753694581,0.324324324324324,0.390572390572391,0.195774040534713,0.333333333333333,0.333333333333333,0.760330578512396,7,"WHITE","CALIFORNIA",3
43,0.101694915254237,0.245098039215686,0.0963855421686747,0.0258899676375405,0.0985221674876847,0.0810810810810811,0.306397306397306,0.197930142302717,0.589147286821705,0.192982456140351,0.446280991735537,6,"WHITE","CALIFORNIA",3
44,0.245762711864407,0.0784313725490196,0.168674698795181,0.058252427184466,0.0911330049261084,0.351351351351351,0.494949494949495,0.215178956446742,0.511627906976744,0.254385964912281,0.56198347107438,7,"WHITE","CALIFORNIA",3
46,0.254237288135593,0.156862745098039,0.228915662650602,0.245954692556634,0.0886699507389163,0.441441441441441,0.602693602693603,0.373868046571797,0.333333333333333,0.245614035087719,0.247933884297521,6,"WHITE","CALIFORNIA",3
48,0.23728813559322,0.215686274509804,0.150602409638554,0.236245954692557,0.0665024630541872,0.18018018018018,0.397306397306397,0.280724450194046,0.263565891472868,0.140350877192982,0.462809917355372,6,"WHITE","CALIFORNIA",3
49,0.313559322033898,0.127450980392157,0.174698795180723,0.0258899676375405,0.0911330049261084,0.306306306306306,0.34006734006734,0.177662785683485,0.333333333333333,0.201754385964912,0.545454545454546,6,"WHITE","CALIFORNIA",3
50,0.330508474576271,0.303921568627451,0.295180722891566,0.226537216828479,0.0665024630541872,0.0900900900900901,0.35016835016835,0.409228115567056,0.472868217054264,0.473684210526316,0.330578512396694,6,"WHITE","CALIFORNIA",3
54,0.372881355932203,0.215686274509804,0.265060240963855,0.378640776699029,0.083743842364532,0.459459459459459,0.498316498316498,0.319534282018109,0.248062015503876,0.0964912280701754,0.661157024793388,6,"WHITE","CALIFORNIA",3
56,0.254237288135593,0.235294117647059,0.180722891566265,0.0841423948220065,0.0492610837438424,0.126126126126126,0.249158249158249,0.15092712376024,0.472868217054264,0.359649122807018,0.760330578512396,7,"WHITE","CALIFORNIA",3
57,0.338983050847458,0.166666666666667,0.204819277108434,0.420711974110032,0.0862068965517241,0.585585585585586,0.599326599326599,0.545493747304872,0.387596899224806,0.464912280701754,0.148760330578512,5,"WHITE","CALIFORNIA",3
58,0.220338983050847,0.225490196078431,0.240963855421687,0.177993527508091,0.0763546798029557,0.405405405405405,0.548821548821549,0.353169469598963,0.333333333333333,0.210526315789474,0.214876033057851,6,"none","CALIFORNIA",1
59,0.313559322033898,0.235294117647059,0.295180722891566,0.0323624595469256,0.0541871921182266,0.387387387387387,0.346801346801347,0.150495903406641,0.271317829457364,0.210526315789474,0.743801652892562,6,"WHITE","CALIFORNIA",3
60,0.135593220338983,0.32843137254902,0.114457831325301,0.029126213592233,0.0738916256157636,0.234234234234234,0.276094276094276,0.238896075894782,0.635658914728682,0.166666666666667,0.330578512396694,7,"WHITE","CALIFORNIA",3
63,0.186440677966102,0.490196078431372,0.120481927710843,0.0550161812297735,0.16256157635468,0.126126126126126,0.148148148148148,0.326002587322123,0.666666666666667,0.394736842105263,0.743801652892562,6,"RED","CALIFORNIA",2
65,0.11864406779661,0.392156862745098,0.0240963855421687,0.029126213592233,0.110837438423645,0.162162162162162,0.336700336700337,0.241052177662786,0.635658914728682,0.350877192982456,0.694214876033058,7,"RED","CALIFORNIA",2
66,0.26271186440678,0.107843137254902,0.168674698795181,0.0744336569579288,0.110837438423645,0.288288288288288,0.313131313131313,0.228115567054762,0.34108527131783,0.157894736842105,0.462809917355372,6,"WHITE","CALIFORNIA",3
68,0.322033898305085,0.686274509803922,0,0.0323624595469256,0.165024630541872,0.288288288288288,0.131313131313131,0.388529538594221,0.457364341085271,0.350877192982456,0.446280991735537,6,"RED","CALIFORNIA",2
69,0.389830508474576,0.225490196078431,0.186746987951807,0.00809061488673139,0.0295566502463054,0.459459459459459,0.478114478114478,0.141009055627426,0.162790697674419,0.087719298245614,0.578512396694215,5,"WHITE","CALIFORNIA",3
70,0.296610169491525,0.254901960784314,0.180722891566265,0.0194174757281553,0.118226600985222,0.216216216216216,0.562289562289562,0.33160845191893,0.41860465116279,0.254385964912281,0.181818181818182,6,"WHITE","CALIFORNIA",3
71,0.313559322033898,0.549019607843137,0,0.0550161812297735,0.167487684729064,0.153153153153153,0.0774410774410774,0.404915912031049,0.465116279069767,0.333333333333333,0.330578512396694,6,"RED","CALIFORNIA",2
72,0.355932203389831,0.362745098039216,0.168674698795181,0.326860841423948,0.103448275862069,0.216216216216216,0.508417508417508,0.370418283742993,0.263565891472868,0.219298245614035,0.56198347107438,7,"WHITE","CALIFORNIA",3
73,0.228813559322034,0.176470588235294,0.162650602409639,0.394822006472492,0.0862068965517241,0.612612612612613,0.703703703703704,0.413540319103062,0.348837209302325,0.184210526315789,0.330578512396694,6,"WHITE","CALIFORNIA",3
74,0.279661016949153,0.117647058823529,0.22289156626506,0.0258899676375405,0.0985221674876847,0.243243243243243,0.414141414141414,0.222078482104355,0.333333333333333,0.263157894736842,0.462809917355372,5,"WHITE","CALIFORNIA",3
75,0.296610169491525,0.333333333333333,0.228915662650602,0.197411003236246,0.0886699507389163,0.252252252252252,0.390572390572391,0.232427770590773,0.364341085271318,0.131578947368421,0.760330578512396,7,"WHITE","CALIFORNIA",3
78,0.186440677966102,0.215686274509804,0.198795180722892,0.0453074433656958,0.0812807881773399,0.27027027027027,0.407407407407407,0.109098749460971,0.465116279069767,0.175438596491228,0.743801652892562,6,"WHITE","CALIFORNIA",3
79,0.245762711864407,0.156862745098039,0.216867469879518,0.249190938511327,0.0812807881773399,0.369369369369369,0.393939393939394,0.328589909443725,0.48062015503876,0.263157894736842,0.479338842975207,6,"none","CALIFORNIA",1
80,0.152542372881356,0.117647058823529,0.397590361445783,0.307443365695793,0.083743842364532,0.693693693693694,0.569023569023569,0.318671841310911,0.201550387596899,0.184210526315789,0.396694214876033,7,"WHITE","CALIFORNIA",3
